STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
Georgia,https://dph.georgia.gov/epidemiology/influenza/georgia-influenza-activity,Weekly Influenza Surveillance in Georgia,Level 4,Low,Mar-16-2024,11,2023-24
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,Hawaii's Influenza Surveillance Program,Level 1,Minimal,Mar-16-2024,11,2023-24
Idaho,http://flu.idaho.gov,Influenza,Level 6,Moderate,Mar-16-2024,11,2023-24
Illinois,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance,Seasonal Influenza Surveillance Reports,Level 4,Low,Mar-16-2024,11,2023-24
Indiana,https://www.in.gov/health/idepd/influenza/influenza-dashboard/,Influenza in Indiana,Level 6,Moderate,Mar-16-2024,11,2023-24
Iowa,https://idph.iowa.gov/influenza/reports,Iowa Influenza Surveillance Network,Level 10,High,Mar-16-2024,11,2023-24
Kansas,http://www.kdheks.gov/flu/surveillance.htm,Influenza Information,Level 6,Moderate,Mar-16-2024,11,2023-24
Kentucky,https://chfs.ky.gov/agencies/dph/dehp/Pages/influenza.aspx,Influenza - Flu,Level 4,Low,Mar-16-2024,11,2023-24
Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,Level 5,Low,Mar-16-2024,11,2023-24
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,Weekly Surveillance Updates,Level 4,Low,Mar-16-2024,11,2023-24
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,Influenza Surveillance,Level 5,Low,Mar-16-2024,11,2023-24
Massachusetts,https://www.mass.gov/info-details/influenza-reporting,Influenza Surveillance Data,Level 7,Moderate,Mar-16-2024,11,2023-24
Michigan,http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html,Influenza Activity and Surveillance,Level 10,High,Mar-16-2024,11,2023-24
Minnesota,http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html,Weekly Influenza Activity: Statistics,Level 3,Minimal,Mar-16-2024,11,2023-24
Mississippi,http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html,Mississippi Flu Surveillance and Influenza-Like Illness Reports,Level 4,Low,Mar-16-2024,11,2023-24
Missouri,http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php,Influenza Data & Statistical Reports ,Level 5,Low,Mar-16-2024,11,2023-24
Montana,https://dphhs.mt.gov/publichealth/cdepi/diseases/Pan-Respiratory/InfluenzaDashboard,Influenza: What You Need to Know,Level 1,Minimal,Mar-16-2024,11,2023-24
Nebraska,http://dhhs.ne.gov/Pages/Flu.aspx%20,Weekly Flu Report,Level 10,High,Mar-16-2024,11,2023-24
Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",Level 2,Minimal,Mar-16-2024,11,2023-24
New Hampshire,http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm,Influenza Control and Surveillance,Level 4,Low,Mar-16-2024,11,2023-24
New Jersey,http://www.nj.gov/health/cd/topics/flu.shtml,Seasonal Influenza - Surveillance,Level 8,High,Mar-16-2024,11,2023-24
New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,Level 10,High,Mar-16-2024,11,2023-24
New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,"Influenza Activity, Surveillance and Reports",Level 3,Minimal,Mar-16-2024,11,2023-24
North Carolina,http://www.flu.nc.gov/%20,North Carolina Influenza Update,Level 4,Low,Mar-16-2024,11,2023-24
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 10,High,Mar-16-2024,11,2023-24
Ohio,http://www.flu.ohio.gov%20,Influenza Information,Level 10,High,Mar-16-2024,11,2023-24
Oklahoma,https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html,Influenza Information,Level 6,Moderate,Mar-16-2024,11,2023-24
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,Influenza Disease Surveillance Data,Level 3,Minimal,Mar-16-2024,11,2023-24
Pennsylvania,https://www.health.pa.gov/topics/disease/Flu/Pages/Flu.aspx%20,Influenza Weekly Report ,Level 4,Low,Mar-16-2024,11,2023-24
Rhode Island,http://www.health.ri.gov/data/flu/index.php,Influenza Surveillance,Level 5,Low,Mar-16-2024,11,2023-24
South Carolina,http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/,Influenza Activity and Surveillance,Level 6,Moderate,Mar-16-2024,11,2023-24
South Dakota,https://doh.sd.gov/health-data-reports/data-dashboards/influenza-dashboard/,Influenza Information,Level 5,Low,Mar-16-2024,11,2023-24
Tennessee,http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html,Influenza-Like Illness Surveillance Summary Archive,Level 6,Moderate,Mar-16-2024,11,2023-24
Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,Level 3,Minimal,Mar-16-2024,11,2023-24
Utah,http://health.utah.gov/epi/diseases/influenza/surveillance/index.html,Seasonal Influenza Weekly Update,Level 1,Minimal,Mar-16-2024,11,2023-24
Vermont,http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance,Flu Activity,Level 1,Minimal,Mar-16-2024,11,2023-24
Virginia,http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/,Virginia Weekly Influenza Activity Report,Level 5,Low,Mar-16-2024,11,2023-24
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,Influenza Update,Level 4,Low,Mar-16-2024,11,2023-24
West Virginia,https://oeps.wv.gov/flu/pages/flu_data.aspx,Current Influenza Surveillance,Level 3,Minimal,Mar-16-2024,11,2023-24
Wisconsin,http://www.dhs.wisconsin.gov/communicable/influenza/index.htm,Tracking Influenza in Wisconsin,Level 6,Moderate,Mar-16-2024,11,2023-24
Wyoming,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/,Influenza,Level 10,High,Mar-16-2024,11,2023-24
New York City,http://www1.nyc.gov/site/doh/providers/health-topics/flu-alerts.page,Surveillance Data,Level 7,Moderate,Mar-16-2024,11,2023-24
Commonwealth of the Northern Mariana Islands,,,Level 2,Minimal,Mar-16-2024,11,2023-24
Puerto Rico,https://www.salud.gov.pr/CMS/92,Puerto Rico Departamento de Salud,Level 4,Low,Mar-16-2024,11,2023-24
Virgin Islands,https://doh.vi.gov/resources/influenza-flu,Influenza,Level 1,Minimal,Mar-16-2024,11,2023-24
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,Mar-23-2024,12,2023-24
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Level 6,Moderate,Mar-23-2024,12,2023-24
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Level 2,Minimal,Mar-23-2024,12,2023-24
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 5,Low,Mar-23-2024,12,2023-24
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Level 5,Low,Mar-23-2024,12,2023-24
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Level 4,Low,Mar-23-2024,12,2023-24
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,Flu Statistics,Level 3,Minimal,Mar-23-2024,12,2023-24
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,Weekly Influenza Surveillance Reports,Level 1,Minimal,Mar-23-2024,12,2023-24
District of Columbia,https://dchealth.dc.gov/node/114982,Influenza Information,Level 10,High,Mar-23-2024,12,2023-24
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,Level 4,Low,Mar-23-2024,12,2023-24
Georgia,https://dph.georgia.gov/epidemiology/influenza/georgia-influenza-activity,Weekly Influenza Surveillance in Georgia,Level 3,Minimal,Mar-23-2024,12,2023-24
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,Hawaii's Influenza Surveillance Program,Level 1,Minimal,Mar-23-2024,12,2023-24
Idaho,http://flu.idaho.gov,Influenza,Level 4,Low,Mar-23-2024,12,2023-24
Illinois,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance,Seasonal Influenza Surveillance Reports,Level 3,Minimal,Mar-23-2024,12,2023-24
Indiana,https://www.in.gov/health/idepd/influenza/influenza-dashboard/,Influenza in Indiana,Level 5,Low,Mar-23-2024,12,2023-24
Iowa,https://idph.iowa.gov/influenza/reports,Iowa Influenza Surveillance Network,Level 7,Moderate,Mar-23-2024,12,2023-24
Kansas,http://www.kdheks.gov/flu/surveillance.htm,Influenza Information,Level 4,Low,Mar-23-2024,12,2023-24
Kentucky,https://chfs.ky.gov/agencies/dph/dehp/Pages/influenza.aspx,Influenza - Flu,Level 3,Minimal,Mar-23-2024,12,2023-24
Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,Level 5,Low,Mar-23-2024,12,2023-24
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,Weekly Surveillance Updates,Level 3,Minimal,Mar-23-2024,12,2023-24
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,Influenza Surveillance,Level 5,Low,Mar-23-2024,12,2023-24
Massachusetts,https://www.mass.gov/info-details/influenza-reporting,Influenza Surveillance Data,Level 7,Moderate,Mar-23-2024,12,2023-24
Michigan,http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html,Influenza Activity and Surveillance,Level 9,High,Mar-23-2024,12,2023-24
Minnesota,http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html,Weekly Influenza Activity: Statistics,Level 2,Minimal,Mar-23-2024,12,2023-24
Mississippi,http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html,Mississippi Flu Surveillance and Influenza-Like Illness Reports,Level 3,Minimal,Mar-23-2024,12,2023-24
Missouri,http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php,Influenza Data & Statistical Reports ,Level 3,Minimal,Mar-23-2024,12,2023-24
Montana,https://dphhs.mt.gov/publichealth/cdepi/diseases/Pan-Respiratory/InfluenzaDashboard,Influenza: What You Need to Know,Level 1,Minimal,Mar-23-2024,12,2023-24
Nebraska,http://dhhs.ne.gov/Pages/Flu.aspx%20,Weekly Flu Report,Level 9,High,Mar-23-2024,12,2023-24
Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",Level 1,Minimal,Mar-23-2024,12,2023-24
New Hampshire,http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm,Influenza Control and Surveillance,Level 4,Low,Mar-23-2024,12,2023-24
New Jersey,http://www.nj.gov/health/cd/topics/flu.shtml,Seasonal Influenza - Surveillance,Level 8,High,Mar-23-2024,12,2023-24
New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,Level 10,High,Mar-23-2024,12,2023-24
New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,"Influenza Activity, Surveillance and Reports",Level 3,Minimal,Mar-23-2024,12,2023-24
North Carolina,http://www.flu.nc.gov/%20,North Carolina Influenza Update,Level 4,Low,Mar-23-2024,12,2023-24
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 10,High,Mar-23-2024,12,2023-24
Ohio,http://www.flu.ohio.gov%20,Influenza Information,Level 8,High,Mar-23-2024,12,2023-24
Oklahoma,https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html,Influenza Information,Level 5,Low,Mar-23-2024,12,2023-24
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,Influenza Disease Surveillance Data,Level 3,Minimal,Mar-23-2024,12,2023-24
Pennsylvania,https://www.health.pa.gov/topics/disease/Flu/Pages/Flu.aspx%20,Influenza Weekly Report ,Level 3,Minimal,Mar-23-2024,12,2023-24
Rhode Island,http://www.health.ri.gov/data/flu/index.php,Influenza Surveillance,Level 5,Low,Mar-23-2024,12,2023-24
South Carolina,http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/,Influenza Activity and Surveillance,Level 4,Low,Mar-23-2024,12,2023-24
South Dakota,https://doh.sd.gov/health-data-reports/data-dashboards/influenza-dashboard/,Influenza Information,Level 6,Moderate,Mar-23-2024,12,2023-24
Tennessee,http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html,Influenza-Like Illness Surveillance Summary Archive,Level 4,Low,Mar-23-2024,12,2023-24
Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,Level 2,Minimal,Mar-23-2024,12,2023-24
Utah,http://health.utah.gov/epi/diseases/influenza/surveillance/index.html,Seasonal Influenza Weekly Update,Level 1,Minimal,Mar-23-2024,12,2023-24
Vermont,http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance,Flu Activity,Level 1,Minimal,Mar-23-2024,12,2023-24
Virginia,http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/,Virginia Weekly Influenza Activity Report,Level 5,Low,Mar-23-2024,12,2023-24
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,Influenza Update,Level 3,Minimal,Mar-23-2024,12,2023-24
West Virginia,https://oeps.wv.gov/flu/pages/flu_data.aspx,Current Influenza Surveillance,Level 2,Minimal,Mar-23-2024,12,2023-24
Wisconsin,http://www.dhs.wisconsin.gov/communicable/influenza/index.htm,Tracking Influenza in Wisconsin,Level 5,Low,Mar-23-2024,12,2023-24
Wyoming,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/,Influenza,Level 9,High,Mar-23-2024,12,2023-24
New York City,http://www1.nyc.gov/site/doh/providers/health-topics/flu-alerts.page,Surveillance Data,Level 8,High,Mar-23-2024,12,2023-24
Commonwealth of the Northern Mariana Islands,,,Level 1,Minimal,Mar-23-2024,12,2023-24
Puerto Rico,https://www.salud.gov.pr/CMS/92,Puerto Rico Departamento de Salud,Level 5,Low,Mar-23-2024,12,2023-24
Virgin Islands,https://doh.vi.gov/resources/influenza-flu,Influenza,Level 2,Minimal,Mar-23-2024,12,2023-24
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 3,Minimal,Mar-30-2024,13,2023-24
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Level 4,Low,Mar-30-2024,13,2023-24
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Level 1,Minimal,Mar-30-2024,13,2023-24
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 4,Low,Mar-30-2024,13,2023-24
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Level 5,Low,Mar-30-2024,13,2023-24
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Level 3,Minimal,Mar-30-2024,13,2023-24
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,Flu Statistics,Level 4,Low,Mar-30-2024,13,2023-24
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,Weekly Influenza Surveillance Reports,Level 2,Minimal,Mar-30-2024,13,2023-24
District of Columbia,https://dchealth.dc.gov/node/114982,Influenza Information,Level 10,High,Mar-30-2024,13,2023-24
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,Level 3,Minimal,Mar-30-2024,13,2023-24
Georgia,https://dph.georgia.gov/epidemiology/influenza/georgia-influenza-activity,Weekly Influenza Surveillance in Georgia,Level 3,Minimal,Mar-30-2024,13,2023-24
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,Hawaii's Influenza Surveillance Program,Level 1,Minimal,Mar-30-2024,13,2023-24
Idaho,http://flu.idaho.gov,Influenza,Level 1,Minimal,Mar-30-2024,13,2023-24
Illinois,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance,Seasonal Influenza Surveillance Reports,Level 3,Minimal,Mar-30-2024,13,2023-24
Indiana,https://www.in.gov/health/idepd/influenza/influenza-dashboard/,Influenza in Indiana,Level 4,Low,Mar-30-2024,13,2023-24
Iowa,https://idph.iowa.gov/influenza/reports,Iowa Influenza Surveillance Network,Level 6,Moderate,Mar-30-2024,13,2023-24
Kansas,http://www.kdheks.gov/flu/surveillance.htm,Influenza Information,Level 4,Low,Mar-30-2024,13,2023-24
Kentucky,https://chfs.ky.gov/agencies/dph/dehp/Pages/influenza.aspx,Influenza - Flu,Level 4,Low,Mar-30-2024,13,2023-24
Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,Level 4,Low,Mar-30-2024,13,2023-24
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,Weekly Surveillance Updates,Level 4,Low,Mar-30-2024,13,2023-24
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,Influenza Surveillance,Level 4,Low,Mar-30-2024,13,2023-24
Massachusetts,https://www.mass.gov/info-details/influenza-reporting,Influenza Surveillance Data,Level 7,Moderate,Mar-30-2024,13,2023-24
Michigan,http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html,Influenza Activity and Surveillance,Level 8,High,Mar-30-2024,13,2023-24
Minnesota,http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html,Weekly Influenza Activity: Statistics,Level 2,Minimal,Mar-30-2024,13,2023-24
Mississippi,http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html,Mississippi Flu Surveillance and Influenza-Like Illness Reports,Level 4,Low,Mar-30-2024,13,2023-24
Missouri,http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php,Influenza Data & Statistical Reports ,Level 4,Low,Mar-30-2024,13,2023-24
Montana,https://dphhs.mt.gov/publichealth/cdepi/diseases/Pan-Respiratory/InfluenzaDashboard,Influenza: What You Need to Know,Level 1,Minimal,Mar-30-2024,13,2023-24
Nebraska,http://dhhs.ne.gov/Pages/Flu.aspx%20,Weekly Flu Report,Level 9,High,Mar-30-2024,13,2023-24
Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",Level 1,Minimal,Mar-30-2024,13,2023-24
New Hampshire,http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm,Influenza Control and Surveillance,Level 4,Low,Mar-30-2024,13,2023-24
New Jersey,http://www.nj.gov/health/cd/topics/flu.shtml,Seasonal Influenza - Surveillance,Level 7,Moderate,Mar-30-2024,13,2023-24
New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,Level 9,High,Mar-30-2024,13,2023-24
New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,"Influenza Activity, Surveillance and Reports",Level 3,Minimal,Mar-30-2024,13,2023-24
North Carolina,http://www.flu.nc.gov/%20,North Carolina Influenza Update,Level 4,Low,Mar-30-2024,13,2023-24
North Dakota,http://www.ndflu.com/default.aspx,Influenza,Level 10,High,Mar-30-2024,13,2023-24
Ohio,http://www.flu.ohio.gov%20,Influenza Information,Level 7,Moderate,Mar-30-2024,13,2023-24
Oklahoma,https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html,Influenza Information,Level 3,Minimal,Mar-30-2024,13,2023-24
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,Influenza Disease Surveillance Data,Level 2,Minimal,Mar-30-2024,13,2023-24
Pennsylvania,https://www.health.pa.gov/topics/disease/Flu/Pages/Flu.aspx%20,Influenza Weekly Report ,Level 3,Minimal,Mar-30-2024,13,2023-24
Rhode Island,http://www.health.ri.gov/data/flu/index.php,Influenza Surveillance,Level 5,Low,Mar-30-2024,13,2023-24
South Carolina,http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/,Influenza Activity and Surveillance,Level 5,Low,Mar-30-2024,13,2023-24
South Dakota,https://doh.sd.gov/health-data-reports/data-dashboards/influenza-dashboard/,Influenza Information,Level 5,Low,Mar-30-2024,13,2023-24
Tennessee,http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html,Influenza-Like Illness Surveillance Summary Archive,Level 4,Low,Mar-30-2024,13,2023-24
Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,Level 2,Minimal,Mar-30-2024,13,2023-24
Utah,http://health.utah.gov/epi/diseases/influenza/surveillance/index.html,Seasonal Influenza Weekly Update,Level 1,Minimal,Mar-30-2024,13,2023-24
Vermont,http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance,Flu Activity,Level 1,Minimal,Mar-30-2024,13,2023-24
Virginia,http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/,Virginia Weekly Influenza Activity Report,Level 4,Low,Mar-30-2024,13,2023-24
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,Influenza Update,Level 3,Minimal,Mar-30-2024,13,2023-24
West Virginia,https://oeps.wv.gov/flu/pages/flu_data.aspx,Current Influenza Surveillance,Level 1,Minimal,Mar-30-2024,13,2023-24
Wisconsin,http://www.dhs.wisconsin.gov/communicable/influenza/index.htm,Tracking Influenza in Wisconsin,Level 5,Low,Mar-30-2024,13,2023-24
Wyoming,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/,Influenza,Level 8,High,Mar-30-2024,13,2023-24
New York City,http://www1.nyc.gov/site/doh/providers/health-topics/flu-alerts.page,Surveillance Data,Level 7,Moderate,Mar-30-2024,13,2023-24
Commonwealth of the Northern Mariana Islands,,,Level 2,Minimal,Mar-30-2024,13,2023-24
Puerto Rico,https://www.salud.gov.pr/CMS/92,Puerto Rico Departamento de Salud,Level 4,Low,Mar-30-2024,13,2023-24
Virgin Islands,https://doh.vi.gov/resources/influenza-flu,Influenza,Level 3,Minimal,Mar-30-2024,13,2023-24
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 3,Minimal,Apr-06-2024,14,2023-24
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Level 4,Low,Apr-06-2024,14,2023-24
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Level 1,Minimal,Apr-06-2024,14,2023-24
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 3,Minimal,Apr-06-2024,14,2023-24
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Level 5,Low,Apr-06-2024,14,2023-24
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Level 2,Minimal,Apr-06-2024,14,2023-24
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,Flu Statistics,Level 4,Low,Apr-06-2024,14,2023-24
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,Weekly Influenza Surveillance Reports,Level 1,Minimal,Apr-06-2024,14,2023-24
District of Columbia,https://dchealth.dc.gov/node/114982,Influenza Information,Level 10,High,Apr-06-2024,14,2023-24
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,Level 2,Minimal,Apr-06-2024,14,2023-24
Georgia,https://dph.georgia.gov/epidemiology/influenza/georgia-influenza-activity,Weekly Influenza Surveillance in Georgia,Level 2,Minimal,Apr-06-2024,14,2023-24
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,Hawaii's Influenza Surveillance Program,Level 1,Minimal,Apr-06-2024,14,2023-24
Idaho,http://flu.idaho.gov,Influenza,Level 2,Minimal,Apr-06-2024,14,2023-24
Illinois,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance,Seasonal Influenza Surveillance Reports,Level 3,Minimal,Apr-06-2024,14,2023-24
Indiana,https://www.in.gov/health/idepd/influenza/influenza-dashboard/,Influenza in Indiana,Level 3,Minimal,Apr-06-2024,14,2023-24
Iowa,https://idph.iowa.gov/influenza/reports,Iowa Influenza Surveillance Network,Level 6,Moderate,Apr-06-2024,14,2023-24
Kansas,http://www.kdheks.gov/flu/surveillance.htm,Influenza Information,Level 3,Minimal,Apr-06-2024,14,2023-24
Kentucky,https://chfs.ky.gov/agencies/dph/dehp/Pages/influenza.aspx,Influenza - Flu,Level 3,Minimal,Apr-06-2024,14,2023-24
Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,Level 3,Minimal,Apr-06-2024,14,2023-24
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,Weekly Surveillance Updates,Level 4,Low,Apr-06-2024,14,2023-24
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,Influenza Surveillance,Level 4,Low,Apr-06-2024,14,2023-24
Massachusetts,https://www.mass.gov/info-details/influenza-reporting,Influenza Surveillance Data,Level 7,Moderate,Apr-06-2024,14,2023-24
Michigan,http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html,Influenza Activity and Surveillance,Level 7,Moderate,Apr-06-2024,14,2023-24
Minnesota,http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html,Weekly Influenza Activity: Statistics,Level 2,Minimal,Apr-06-2024,14,2023-24
Mississippi,http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html,Mississippi Flu Surveillance and Influenza-Like Illness Reports,Level 4,Low,Apr-06-2024,14,2023-24
Missouri,http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php,Influenza Data & Statistical Reports ,Level 3,Minimal,Apr-06-2024,14,2023-24
Montana,https://dphhs.mt.gov/publichealth/cdepi/diseases/Pan-Respiratory/InfluenzaDashboard,Influenza: What You Need to Know,Level 2,Minimal,Apr-06-2024,14,2023-24
Nebraska,http://dhhs.ne.gov/Pages/Flu.aspx%20,Weekly Flu Report,Level 7,Moderate,Apr-06-2024,14,2023-24
Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",Level 2,Minimal,Apr-06-2024,14,2023-24
New Hampshire,http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm,Influenza Control and Surveillance,Level 4,Low,Apr-06-2024,14,2023-24
